GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000153563.16,75.57936358,-1.22917648,0.347158272,-3.540680376,0.000399097,0.002913472
ENSG00000153904.21,1467.931522,-1.16152007,0.132761475,-8.748924127,2.15E-18,3.11E-16
ENSG00000154889.17,206.305998,-1.053061144,0.227343996,-4.632016525,3.62E-06,5.24E-05
ENSG00000155906.19,451.6413586,-1.727124099,0.177259169,-9.743496517,1.97E-22,4.75E-20
ENSG00000156042.18,76.63296133,-1.740592499,0.378706573,-4.596150743,4.30E-06,6.08E-05
ENSG00000156050.10,68.83151413,-1.1775493,0.362869298,-3.245105904,0.00117407,0.007186609
ENSG00000156510.13,82.05024869,-1.061926439,0.35125274,-3.023254531,0.002500718,0.013224626
ENSG00000156587.16,83.57903272,-1.241175079,0.329773328,-3.763721851,0.000167403,0.001415889
ENSG00000156804.7,88.09598875,-1.470100902,0.345151268,-4.259294515,2.05E-05,0.000239084
ENSG00000158769.18,121.429819,-1.150289962,0.293038775,-3.925384825,8.66E-05,0.000817747
ENSG00000160190.14,91.776841,-1.183632421,0.321881592,-3.677229294,0.000235781,0.001892949
ENSG00000160703.16,1002.902695,-1.074610574,0.134493728,-7.990042271,1.35E-15,1.30E-13
ENSG00000160781.17,148.1985947,-1.25634296,0.26089094,-4.815586772,1.47E-06,2.37E-05
ENSG00000162241.12,165.4602571,-1.239041369,0.271788482,-4.558844295,5.14E-06,7.07E-05
ENSG00000162641.20,89.31670851,-1.457583292,0.322304609,-4.522378065,6.11E-06,8.24E-05
ENSG00000162927.14,232.6720033,-1.016119875,0.216446762,-4.694548752,2.67E-06,4.00E-05
ENSG00000163378.14,893.6792842,-1.630837523,0.144051152,-11.32123903,1.03E-29,5.26E-27
ENSG00000163596.17,204.0035581,-1.070549903,0.224238845,-4.774150095,1.80E-06,2.83E-05
ENSG00000163803.13,129.4871388,-1.03288206,0.282680636,-3.653883312,0.000258304,0.002027195
ENSG00000163898.10,45.69367252,-2.668947682,0.486990129,-5.480496468,4.24E-08,1.01E-06
ENSG00000164674.17,68.63130713,-1.88138476,0.373619347,-5.035565678,4.76E-07,8.96E-06
ENSG00000164989.17,75.60070347,-1.094482539,0.350139915,-3.125843394,0.001772959,0.009963237
ENSG00000165171.11,150.9393309,-1.146503257,0.257542756,-4.451700652,8.52E-06,0.000110801
ENSG00000165240.20,488.244461,-1.07931611,0.177471966,-6.081614674,1.19E-09,3.98E-08
ENSG00000166272.18,842.6934707,-1.29375172,0.140492657,-9.20867858,3.30E-20,6.26E-18
ENSG00000166432.15,237.5459069,-1.405582759,0.216427726,-6.494467156,8.33E-11,3.62E-09
ENSG00000166473.17,351.4605469,-1.785057406,0.212080135,-8.416900545,3.87E-17,4.67E-15
ENSG00000166750.10,574.6909455,-1.423405878,0.17330884,-8.213117546,2.16E-16,2.33E-14
ENSG00000166963.13,185.7696447,-2.104007244,0.264584954,-7.952104656,1.83E-15,1.73E-13
ENSG00000166974.13,47.16373056,-1.772822143,0.441187237,-4.018298795,5.86E-05,0.00058926
ENSG00000167106.12,1461.304102,-1.132936784,0.163729943,-6.919545454,4.53E-12,2.46E-10
ENSG00000167552.15,2412.711017,-1.086139946,0.124694154,-8.710431991,3.03E-18,4.28E-16
ENSG00000167699.13,1370.554015,-2.497197688,0.154683612,-16.143906,1.25E-58,2.77E-55
ENSG00000168000.15,77.57026523,-1.001845829,0.34273504,-2.923091344,0.003465748,0.01710207
ENSG00000168016.15,101.8292808,-1.270412232,0.323698176,-3.924681464,8.68E-05,0.000818459
ENSG00000168404.13,515.6829227,-1.312169276,0.16154218,-8.122765701,4.56E-16,4.69E-14
ENSG00000168477.19,48.44574032,-2.190742519,0.477568683,-4.587282621,4.49E-06,6.29E-05
ENSG00000170049.9,55.8572378,-1.364167062,0.415607634,-3.28234361,0.001029481,0.00641019
ENSG00000171658.8,69.90124085,-2.355860788,0.38825982,-6.067742961,1.30E-09,4.28E-08
ENSG00000171914.16,107.5296532,-1.41634573,0.296346836,-4.779351624,1.76E-06,2.76E-05
ENSG00000174775.17,657.5587303,-1.50885022,0.179652752,-8.398703608,4.51E-17,5.40E-15
ENSG00000175352.11,1880.422261,-1.145694098,0.122885789,-9.323243221,1.13E-20,2.20E-18
ENSG00000176046.9,38.17051301,-1.507328237,0.501871754,-3.003413171,0.002669697,0.013913229
ENSG00000178075.20,77.83292023,-1.357073628,0.341360663,-3.975483331,7.02E-05,0.000688317
ENSG00000178445.10,661.8011206,-1.368837516,0.154934221,-8.834959172,1.00E-18,1.49E-16
ENSG00000178977.3,38.46079405,-2.670692818,0.546506329,-4.886847005,1.02E-06,1.73E-05
ENSG00000179242.16,28.45177845,-1.627443047,0.560544103,-2.903327387,0.003692204,0.018018663
ENSG00000181634.8,73.63312676,-1.263838325,0.433491195,-2.915487882,0.003551329,0.017427235
ENSG00000181652.19,29.46509516,-2.482285517,0.589286607,-4.212356918,2.53E-05,0.000285849
ENSG00000183111.12,173.9285781,-1.607635795,0.243011483,-6.615472556,3.70E-11,1.72E-09
ENSG00000184154.15,86.79809821,-1.046380753,0.322781086,-3.24176601,0.001187915,0.007255899
ENSG00000184979.10,119.7298602,-1.104626157,0.281965253,-3.917596741,8.94E-05,0.000836641
ENSG00000185158.12,177.3622426,-1.072883302,0.237928641,-4.50926504,6.51E-06,8.70E-05
ENSG00000185561.10,468.6657186,-1.051598654,0.165586522,-6.350750294,2.14E-10,8.42E-09
ENSG00000186364.12,159.9183218,-1.399330832,0.253106311,-5.528628761,3.23E-08,7.83E-07
ENSG00000186470.14,540.6494642,-1.793857013,0.16925168,-10.59875454,3.02E-26,1.09E-23
ENSG00000188211.9,488.4614564,-1.992794613,0.514370679,-3.874238356,0.000106959,0.000974807
ENSG00000188710.3,32.93349893,-1.423896223,0.51319811,-2.774554693,0.005527734,0.024966931
ENSG00000189195.15,289.8105893,-1.072843905,0.195423548,-5.489839463,4.02E-08,9.64E-07
ENSG00000189223.15,2226.335452,-1.391588108,0.161469927,-8.618249427,6.80E-18,9.12E-16
